,Character,Sentence
763,harry,Hang on. This is Hogwarts. And that…
362,harry,Hold on.
176,hermione,Harry.
1006,snape,I have now just confiscated a rather curious artifact.
66,harry,Do you...?
1618,dumbledore,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.
1079,hermione,That felt good.
801,hermione,Hope you don't mean yourself.
1542,harry,You. You're the Heir of Slytherin.
804,dumbledore,There's been another attack.
1497,harry,This way.
251,harry,Yeah.
1513,harry,That someone made the dementors go away.
945,dumbledore,I do not believe that Harry attacked anyone.
1577,hermione,We have to go.
1262,harry,Follow the spiders.
577,snape,"Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention."
1402,harry,You mean we've gone back in time?
602,dumbledore,Everyone except you three.
1450,harry,Come with us now. Come on.
1550,hermione,Never better.
1529,harry,He'll like that after all those years in Azkaban.
1307,harry,"One, but it's not powerful enough for all of them."
369,harry,I think we found the train.
99,harry,I didn't.
68,harry,"You're from Burma, aren't you?"
1468,hermione,"Come on, Buckbeak. Come on."
246,harry,Do you think he's really asleep?
509,hermione,Say something.
1081,harry,Can you tell me?
1333,hermione,Harry!
126,harry,Get off!
71,harry,I see. That's me as well.
958,harry,Crabbe and Goyle.
1292,harry,But have you seen it?
3,harry,Lumos... MAXIMA!
761,harry,"Messrs. Moony, Wormtail, Padfoot and Prongs are proud to present the Marauder's Map."
1315,harry,Don't mention it.
1086,harry,Could you tell me what's going on here?
820,hermione,We'll have to wait for the Polyjuice Potion to know for sure.
1169,hermione,Is that bad?
1248,harry,All they could find of Pettigrew was his...
1100,dumbledore,"I understand, Tom, but I'm afraid Headmaster Dippet may have no choice."
1654,harry,I think you slipped the diary into Ginny Weasley's cauldron that day at Diagon Alley.
920,harry,Professor Dumbledore?
622,hermione,"That's why Ron and I went looking for him, professor."
50,harry,"Dobby, please stop!"
358,harry,This says platform 9 3/4.
101,harry,he Leaky Cauldron. That's in London.
786,hermione,Wingardium Leviosa.
1475,dumbledore,All right.
700,hermione,Not to mention we'd be breaking about 50 school rules...
753,harry,What are you doing?!
613,harry,"Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken."
1547,hermione,"Harry, listen to me."
650,dumbledore,"Quite remarkable, yes."
965,hermione,I don't know.
438,hermione,I expect we'll be arriving soon.
398,snape,Silence.
1237,harry,"The map was lying, then."
1095,dumbledore,"I'm afraid they are, Tom."
288,dumbledore,"Now, I'd like to say a few words before we all become too befuddled by our excellent feast."
1333,harry,"Wish you were here, Hermione."
1528,harry,We could live in the country someplace you can see the sky.
996,snape,Read it.
46,harry,"Stop, Dobby!"
1492,dumbledore,"Meanwhile, I'd like a nice cup of tea or a large brandy."
1586,harry,I'm not going home. Not really.
446,harry,"Hey, hey, hey!"
697,dumbledore,Aresto momentum!
511,harry,"Not Slytherin, not Slytherin!"
962,hermione,I filled these with a simple Sleeping Draught.
1407,hermione,Thanks.
431,hermione,"That's better, isn't it?"
997,harry,"Messrs. Moony, Wormtail, Padfoot, and Prongs offer their compliments to Professor Snape and..."
928,harry,Professor.
284,harry,Hello?
46,harry,That's a lie.
1391,harry,Hermione!
674,snape,No one?
1074,hermione,"Alright, what are the 3 most crucial ingredients in a Forgetfulness Potion?"
888,harry,What's bad? If I hadn't told that snake not to attack Justin...
714,harry,A month?
818,hermione,Ron fancies her.
814,hermione,Again? You mean the Chamber of Secrets has been opened before?
938,harry,I don't even know if it's real.
1591,harry,You've been sacked.
1348,harry,Because no one did look it in the eye.
1126,harry,Hagrid!
1614,dumbledore,"Exactly, Harry. Exactly."
903,harry,But I'm not.
1428,harry,You don't expect me to sit here.
147,harry,I don't understand.
1532,harry,Let's go.
1622,harry,Dobby.
597,snape,Why aren't you all copying this down?
1583,harry,It's just a memory.
1313,harry,We go down the trapdoor. Tonight.
388,harry,Clearly someone doesn't want me here this year.
696,hermione,"Go, Harry! Go, Harry!"
1690,hermione,Thanks.
69,harry,Who’s plotting them?
681,hermione,"Furthermore, The werewolf only responds to the call of its own kind."
626,harry,We were heading back to the common room when we found Mrs. Norris.
1385,hermione,"Sorry, Ron, but seeing as you can't walk..."
268,harry,Thank you.
61,harry,Sorry about him.
152,harry,"The state of things, sir?"
953,hermione,Did not.
1452,hermione,"And Harry, just be careful."
338,harry,To You-Know-Who?
1200,harry,"Who was it, then?"
87,harry,"I swear, I don't know!"
571,harry,I heard it first in Lockhart's office.
244,hermione,"It's on his suitcase, Ronald."
635,harry,Strange?
297,dumbledore,Our Care of Magical Creatures teacher has decided to retire in order to spend more time with his remaining limbs.
943,harry,Ripped to pieces?
797,harry,I think she heard you.
608,hermione,I've read about those.
1007,harry,Ah- um.. Reading.
1630,dumbledore,"Curiously, Lucius, several of them were under the impression that you would curse their family if they did not agree to suspend me in the first place."
262,hermione,"Ouch, Ron. That was my foot."
1532,harry,"Well, you haven't finished it this time."
313,harry,The one who gave me this.
1585,hermione,"Feels strange to be going home, doesn't it?"
918,harry,There's another.
858,harry,"Mind you, she might not have needed saving if you hadn't insulted her."
1692,dumbledore,"Before we begin the feast let us have a round of applause for Professor Sprout, Madam Pomfrey whose Mandrake juice has been so successfully administered to all who had been Petrified."
712,harry,How long will it take to make?
1187,harry,I think it's time to get my dad's old cloak out again.
604,dumbledore,"She's not dead, Argus."
1124,dumbledore,"Now, now, Hagrid. Now, come on."
717,harry,No.
312,harry,"He killed my parents, didn't he?"
876,harry,"Because when he does, I'm gonna be ready!"
1344,harry,Sirius!
1297,harry,You okay?
752,hermione,"You will be able to, won't you?"
1139,harry,"That's not good. Ron, run!"
1358,hermione,"Headmaster, you've got to stop them."
1038,harry,"Good night, professor."
485,dumbledore,Thank you.
208,harry,Yeah. It should be great.
719,harry,"I mean, more than everyone else?"
1033,harry,Someone I know to be dead.
13,harry,Yes.
948,hermione,Rubbish.
660,dumbledore,Let them swim in the deepest ocean or glide over the highest cloud.
1167,harry,Then it'll be you!
856,harry,Good of you to get us out of trouble like that.
11,harry,I will if she does.
300,dumbledore,"Hogwarts will, until further notice, play host to the dementors of Azkaban until such a time as Sirius Black is captured."
645,snape,I've done the dungeons.
290,dumbledore,"Good luck, professor."
1565,dumbledore,"And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. "
1002,snape,"Well, well. Lupin."
812,dumbledore,"It is as we feared, Minerva"
1375,dumbledore,"You know the laws, Miss Granger"
1125,dumbledore,All right. It'll be all right.
63,harry,...watching people press their ugly faces in on you.
1558,harry,"I knew I could do it this time because well, I had already done it."
652,dumbledore,Many. Each as unlikely as the next.
430,hermione,Oculus Reparo.
1563,harry,I want to go with you.
1616,dumbledore,It is not our abilities that show what we truly are.
1221,snape,But why deny the dementors?
1070,hermione,"Look at you, playing with your cards."
1354,harry,And Hermione had the mirror.
264,harry,It's great to see you too.
1417,hermione,Remember what Dumbledore said?
605,dumbledore,She has been Petrified.
1556,dumbledore,"And in first place, with 472 points, Slytherin House."
1362,harry,It all fits.
944,harry,What are you talking about?
441,hermione,Just there.
400,snape,the both of you would be on the train home tonight.
1180,hermione,"And all this time, you've been his friend."
940,hermione,Beautiful day.
1507,hermione,And now we wait.
988,harry,My dad didn't strut. And nor do I.
1504,harry,"Give me my wand, Tom."
350,hermione,I've been here all this time.
311,harry,Fortuna Major.
103,harry,It'll fit me like bits of old elephant skin.
1153,hermione,"Oh, I'm sorry."
402,dumbledore,They are not.
1267,harry,Shush!
1525,harry,"And you framed him, didn't you?"
576,harry,"Professor, can I ask you something?"
586,snape,Pity.
1319,harry,"Come on, move faster!"
8,harry,If I could only let out for an hour or two
194,harry,Yes.
1230,dumbledore,"Well, what exactly is it that you want with me?"
1088,hermione,We'll stay with you too.
322,harry,Maybe if you wrote it down?
216,harry,"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad."
1097,hermione,Follow me!
656,hermione,"Harry, no way!"
1634,harry,Lumos.
830,hermione,Swish and flick!
1389,harry,I don't know. Going to Hagrid's?
1528,harry,I'll bet Dumbledore saw right through you.
1457,hermione,"Come on. Come on, Buckbeak."
423,hermione,The Mandrake's cry is fatal to anyone who hears it.
1578,harry,Of course.
580,snape,"Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?"
1597,dumbledore,And second I sense that something is troubling you.
1506,harry,We've got to go. We've got to save her.
771,harry,Everyone?
367,harry,Muggles?
658,hermione,"Besides, you don't even know how to fly."
598,snape,And Gryffindors note that five points will be taken from your house for your classmate's cheek.
296,hermione,Just forget it.
117,harry,How did he escape?
376,harry,Could you tell me how to...?
1092,dumbledore,"It is not wise to be wandering around this late hour, Tom."
794,harry,Stop it!
60,harry,Your family?
68,harry,What terrible things? 
1035,harry,Look in properly. Go on. 
686,snape,Five points from Gryffindor.
662,harry,"Excuse me, sir."
271,harry,Thank you. Bye.
1688,harry,We had loads of help from you.
1054,harry,Are you okay?
1309,harry,Let's go!
966,hermione,I've already got mine.
1136,harry,Wait!
587,harry,It's Mrs. Norris.
1537,hermione,"Yeah, I didn't think about that. Run!"
73,harry,"Dobby! Dobby, put the lamp down."
934,harry,Seeing their faces.
386,harry,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93/4...
1361,harry,Spiders flee before it.
1605,dumbledore,"If I'm not mistaken, Harry he transferred some of his powers to you the night he gave you that scar."
964,harry,Nicholas Flamel...Who's Nicholas Flamel?
1455,harry,"Now, remember: Any sign of movement, close your eyes straightaway."
885,hermione,"No, they can't."
1053,harry,We better take this back.
9,harry,Nothing. School stuff
789,hermione,It's meant to be the most haunted building in Britain. Did I mention that?
1320,harry,Come on! Go!
589,harry,I think it was my mother the night she was murdered.
985,harry,I was sleepwalking.
246,harry, No. Please...
315,harry,Fortuna Major.
136,harry,Hedwig.
915,harry,No. Mr. Filch! You don't understand...
1205,dumbledore,"I wonder, could we...?"
174,hermione,"Crookshanks, just ignore the mean little boy."
624,snape,"Yes, Miss Granger?"
1277,harry,I know what he is.
1050,harry,We've got loads to tell you.
1362,dumbledore,Scabbers?
218,harry,Voldemort.
1553,dumbledore,"In fourth place, Gryffindor with 312 points. "
710,hermione,But it's tricky. 
1311,harry,Go!
1650,harry,Mr. Malfoy!
489,hermione,"Oh, no. Okay, relax."
674,hermione,Professor? What exactly does legend tell us lies within the Chamber?
1276,harry,"You're Aragog, aren't you?"
1628,dumbledore,"When the governors learned that Arthur Weasley's daughter was taken into the Chamber, they saw fit to summon me back."
248,harry,I gotta tell you something.
198,harry,Everything.
1497,harry,Are you a ghost?
1500,harry,"Ginny, please don't be dead. Wake up."
7,harry,Uncle Vernon. I need you to sign this form.
498,harry,"Nothing. Nothing, I'm fine."
1057,hermione,Look at my face.
88,harry,"One minute the glass was there and then it was gone, it was like magic."
590,snape,Silence.
0,harry,Lumos Maxima...
705,harry,"Oh, brilliant."
601,dumbledore,Everyone will proceed to their dormitories immediately.
356,harry,Platform 9 3/4?
615,harry,That's odd. 
270,hermione,"Okay, bye."
769,harry,So you mean this map shows...
1552,hermione,You're dying both of you.
1473,harry,"Ron! Ron, are you okay?"
847,hermione,Do you think he's all right?
1470,dumbledore,Over there.
272,hermione,"Come on, everyone's been so worried."
1299,hermione,That looks really painful.
699,hermione,"Mind you, it would be difficult."
59,harry,He's asleep!
691,hermione,"But Malfoy, the Heir of Slytherin?"
1606,harry,Voldemort transferred some of his powers to me?
1508,hermione,At least someone's enjoying himself.
429,hermione,For example:
736,harry,Thank you.
1383,dumbledore,Good luck.
10,harry,But I haven’t had any messages from any of my friends... not one… all summer.
778,harry,I don't suppose you could tell me why you're trying to kill me?
1451,harry,All right. Let's go.
304,dumbledore,They'll not distinguish between the one they hunt and the one who gets in their way.
1534,hermione,Saving your life.
80,harry,Anywhere is better than here.
1330,harry,We know one thing.
605,harry,Haunted building in Britain. I know.
1332,harry,Expelliarmus!
1624,harry,The family you serve is the Malfoys.
807,dumbledore,Teachers will follow me to the dungeons.
352,harry,"Ron, I should tell you most Muggles aren't accustomed to seeing a flying car."
374,harry,"Up! Ron, mind that tree!"
901,harry,Expecto Patronum!
632,dumbledore,"Dear lady, who did this to you?"
409,hermione,Say hello to Buckbeak.
1569,dumbledore,"Assuming that my calculations are correct, I believe that a change of direction is in order. "
1593,dumbledore,I believe we want our gamekeeper back.
1216,dumbledore,"I want it understood, Cornelius that Hagrid has my full confidence."
484,hermione,Immobulus!
551,harry,Didn't you hear it?
1576,hermione,"Come on, Harry."
1546,dumbledore,Mm. Alas. Earwax.
1567,dumbledore,"And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. "
1029,harry,But then you must have some idea who's behind it all.
973,harry,Wingardium Leviosa.
1224,snape,"Oh, yes. A Dementor's Kiss. One can only imagine what that must be like."
523,harry,What's a Mudblood?
797,harry,Who's doing it now?
1580,harry,Thanks.
1321,harry,Get us in the air.
28,dumbledore,Good luck...Harry Potter.
314,harry,"You know, Hagrid. "
872,snape,"Don't move, Potter."
190,harry,Mrs. Weasley.
1366,harry,Hermione's answered that too.
1673,harry,Never try to save my life again.
1368,harry,Remember what Aragog said about that girl 50 years ago?
659,dumbledore,"For in dreams, we enter a world that's entirely our own."
207,harry,First year's students will require three sets of plain work robes one wand.
69,harry,Was it nice there?
710,hermione,"No one blames you, Harry."
1415,harry,You've been taking credit for what other wizards have done.
1154,hermione,Nobody else knows our password.
1578,dumbledore,Well?
343,harry,Lost control of the trolley.
636,hermione,"You hear this voice, a voice only you can hear..."
805,dumbledore," Everyone will please, not panic. "
1426,harry,To ask you how you died.
526,hermione,Someone with non-magic parents.
192,harry,Good to see you too.
931,dumbledore,And about time too.
479,hermione,Get off me!
126,harry,Let go of me!
385,hermione,Don't be silly. How could anyone be in two classes at once?
1354,harry,They're gonna kill him?
1510,harry,No. She couldn't. She wouldn't.
1520,harry,Dead. I know.
708,harry,Let's go this way.
1343,harry,"Ron, this is it."
1550,harry,He will come.
266,hermione,Oculus Reparo.
1355,harry,I bet you she was using it to look around corners in case it came along.
3,dumbledore,"I'm afraid so, professor."
233,harry,"Oh, nice to meet you."
1618,harry,What are you talking about?
170,harry,You knew? 
925,harry,Expecto Patronum!
217,harry,Can we find all this in London?
1356,hermione,Much worse.
1384,snape,Weren't you saying just last night that you've known all along where the entrance to the Chamber of Secrets is?
1531,dumbledore,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. "
1345,harry,That's why I can hear it speak.
482,dumbledore,I have a few start-of-term notices I wish to announce.
1501,harry,"You've got to help me, Tom."
1449,harry,"Okay, Buckbeak. Come quickly. "
302,dumbledore,Now whilst I've been assured that their presence will not disrupt our day-to-day activities a word of caution.
1076,harry,"""Tom Marvolo Riddle."""
703,harry,Probably a right sight better than he normally does.
881,harry,I'm sure.
65,harry,"It's just, I've never talked to a snake before."
1332,harry,He was innocent.
86,harry,I didn't do it on purpose.
1633,hermione,"How fast is it, Harry?"
704,hermione,How are you feeling?
732,hermione,Let's go.
1455,dumbledore,It's such a very long name...
1438,harry,"This is it, Ron. I think this is the entrance to the Chamber of Secrets."
1443,hermione,I thought I just saw… Never mind.
1434,hermione,Fudge is coming.
64,harry,Can you hear me?
1693,dumbledore,"Also, in light of the recent events as a school treat all exams have been canceled."
1375,hermione,That's it! Devil's Snare hates sunlight!
1580,harry,"Thanks, Hagrid. "
852,snape,"Perhaps it would be prudent to first teach the students to block unfriendly spells, professor."
591,snape,"Put your hand down, you silly girl!"
1088,harry,"Hello, can you hear me?"
408,dumbledore,"However, as head of Gryffindor house it is for Professor McGonagall to determine the appropriate action."
1061,harry,What's this?
800,harry,"No, Dobby. Tell me."
1512,harry,But why?
581,snape,"You don't know? Well, let's try again."
1130,harry,Hagrid opened the Chamber of Secrets 50 years ago.
391,harry,The what?
1579,harry,Phoenix tears have healing powers.
1539,harry,Why do you care how I escaped?
1091,harry,Dumbledore?
1007,harry,"It just said, ""Use it well."""
873,snape,I'll get rid of it for you.
1568,harry,Ginny?
1198,harry,Do you know who's opened the Chamber of Secrets?
419,hermione,Has anyone seen a toad?
670,snape,Quiet.
527,hermione,Someone like me.
1540,harry,Voldemort was after your time.
651,harry,"Give it here, Malfoy."
895,harry,How can I speak a language without knowing I can?
1623,harry,So this is your master.
1115,dumbledore,Good evening.
1145,hermione,Ron!!
688,harry,It's Quidditch tomorrow.
6,dumbledore,Hagrid is bringing him.
422,hermione,It's also quite dangerous. 
1051,hermione,Go away.
155,harry,Learnt what?
819,hermione,Maybe.
1401,hermione,This is how I've been getting to my lessons all year.
241,harry,"All those people back there, how is it they know who I am?"
299,dumbledore,"Finally, on a more disquieting note at the request of the Ministry of Magic "
280,harry,And did either of you two you know pass out?
1152,hermione,Harry!
167,harry,"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry."""
198,harry,Floo powder?
213,harry,You'd like a dragon?
1097,hermione,I meant me!
1467,dumbledore,And all the strawberries.
718,harry,"Professor, why do the dementors affect me so?"
267,harry,I definitely need to remember that one.
1510,harry,Hermione?
1564,dumbledore,"Second, to Mr. Ronald Weasley, for the best played game of chess that Hogwarts has seen these many years...50 points. "
133,harry,"Make a wish, Harry."
408,hermione,Tah- tah- tah- dah! Isn't he beautiful?
1396,harry,That's us.
578,snape,Mr. Potter.
916,harry,Professor I swear I didn't.
711,hermione,I've never seen a more complicated potion.
171,harry,You knew all along and you never told me?
252,hermione,"But they'll catch Black, won't they?"
1147,harry,Ron. Ron.
1280,harry,They think it's Hagrid.
1543,harry,You're Voldemort.
784,harry,"Why do you wear that thing, Dobby?"
1409,harry,After all you did in your books?
378,harry,Be thankful it's not your neck.
935,harry,They were talking to me.
2,harry,Lumos Maxima...
1046,harry,Hair!
1005,snape,That remains to be seen.
1493,harry,Tom. Tom Riddle.
1406,harry,Good punch.
1545,harry,Any minute now.
145,harry,"No, thank you. Minister?"
1524,harry,Hagrid's my friend.
1349,harry,"Not directly, at least."
1279,harry,"He's in trouble. Up at the school, there have been attacks."
128,harry,Get off!
729,hermione,You could hit Harry.
1155,hermione,Where do you suppose this goes?
307,dumbledore,"But you know, happiness can be found even in the darkest of times if one only remembers to turn on the light."
1515,hermione,I heard Snape telling Dumbledore.
1502,hermione,No idea.
22,harry,"I’ll be in my bedroom, making no noise and pretending that I don’t exist."
810,dumbledore,The truth.
1150,harry,Move!
1484,hermione,Buckbeak.
1596,dumbledore,Nothing but that could have called Fawkes to you.
995,harry,Come on.
1567,harry,But you're innocent.
715,harry,"But, Hermione,"
692,harry,"Maybe Ron's right, Hermione."
653,snape,You may recall prior to the start of term I expressed concerns about your appointment of Professor...
1036,harry,Stand there. There. 
902,harry,Expecto... Expecto...Expect...
1412,hermione,That felt good.
934,dumbledore,"Fawkes is a phoenix, Harry."
381,harry,"Come on, go! Fast!"
317,harry,Thank you.
1257,harry,Come on.
1302,hermione,I'm sure Madam Pomfrey will fix it in a heartbeat.
738,harry,No. I think my arm is broken.
1158,harry,Tom Riddle's diary is gone.
963,hermione,And then?
989,harry,Excellent.
1055,harry,Fine. See you later.
157,harry,I'm a what?
1296,hermione,"You go, I'll stay."
1341,snape,"There you are, Potter!"
877,harry,"When he does, I'm gonna kill him!"
956,hermione,"How did it go, Hagrid? The hearing?"
504,hermione,They got in on pure talent.
1370,harry,What if she never left?
1544,dumbledore,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. "
1312,harry,"Alive, you're free."
260,harry,I don't know.
657,hermione,You heard what Madam Hooch said.
482,hermione,Dufftown? That's not far from here.
682,snape,"Thank you, Mr. Malfoy."
1392,harry,"Hermione! Hermione, wait."
123,harry,Ahh- ahh!
169,hermione,What do you expect?
1132,hermione,It just can't be.
775,harry,"You better clear off before my bones come back Dobby, or I might strangle you."
1533,harry,What are you doing?
951,dumbledore,"No, Harry. I do not think it was you."
872,hermione,"Harry, what happened?"
658,dumbledore,"Perhaps. But for now, let him sleep."
1282,harry,"After that, the dementors can have you."
1348,harry,I saw my dad.
1420,harry,Here they come. I'd better hurry.
433,hermione,I'm Hermione Granger.
1367,hermione,"The point is, we know the truth."
994,hermione,Just go. You're wasting time.
978,hermione,Add the hairs.
496,hermione,No one knows.
238,harry,Goodbye.
1454,harry,"Thanks, Myrtle."
575,harry,"Forget about it, guys. See you later."
1472,dumbledore,Over there.
1299,harry,We'll just go.
817,hermione,Look who it is. Madam Rosmerta.
301,dumbledore,The dementors will be stationed at every entrance to the grounds.
982,hermione,Me too.
342,harry,Sorry.
750,harry,"Let me go! Come on, guys. Don't..."
881,hermione,You can talk to snakes.
1534,harry,And everyone who was Petrified will be all right again.
1505,hermione,And Snape's coming.
1161,hermione,Ron. You're okay.
1182,hermione,That's why he's been missing classes.
937,dumbledore,"Fascinating creatures, phoenixes."
1635,dumbledore,Yes.
1339,hermione,Professor? Professor Lupin?
161,harry,I mean...l can't be a wizard.
500,hermione,That's what makes them so...
1353,hermione,Any minute the dementors are gonna perform the Kiss.
582,snape,"Where, Mr Potter, would you look if I asked you to find me a bezoar?"
1205,snape,Expelliarmus!
1099,harry,Hagrid!
596,snape,Well...
357,harry,"But, Hagrid, there must be a mistake."
567,harry,Did you hear it?
580,harry,I did think of Voldemort at first.
1381,snape,"A girl has been snatched by the monster, Lockhart. "
883,harry,Once. But so what?
1495,harry,She's not...?
1079,harry,Do you know anything about the Chamber of Secrets?
984,snape,What are you doing wandering the corridors at night?
1049,harry,"Hermione, come out."
265,hermione,What did you do to your glasses?
1395,harry,"Lockhart may be useless, but he's going to try and get into the Chamber."
25,dumbledore,Until he's ready.
1645,harry,Don't worry. I will be.
1065,harry,Why would I throw something at you?
1052,harry,Hang on.
1044,harry,Calm down.
375,harry,Excuse me.
476,harry,At least Hagrid didn't get fired.
70,harry,Do you miss your family?
1382,dumbledore,"When in doubt, I find retracing my steps to be a wise place to begin."
1461,dumbledore,"Now, look there."
1431,hermione,"If you go bursting in, you'll think you've gone mad."
992,hermione,You go on without me.
1261,harry,You heard what Hagrid said.
309,harry,He was nothing more than a murderer.
904,harry,I can't be.
203,harry,Okay.
1096,harry,I read it on the train that day.
127,harry,They're my letters!
698,hermione,It's in your blood.
1060,harry,Sorry?
624,dumbledore,Mr. Filch? Round up the ghosts.
1243,dumbledore,However you will find that help will always be given at Hogwarts to those who ask for it.
1429,hermione,"Yes, and you must!"
737,hermione,Are you okay?
631,dumbledore,Keep moving!
1628,harry,But who sent it?
630,dumbledore,"We will be able to cure her, Argus."
1608,harry,So the Sorting Hat was right.
1516,hermione,According to him only a really powerful wizard could have conjured it.
1617,dumbledore,It is our choices.
153,harry,"Sorry, no."
1209,snape,I told Dumbledore you were helping a friend into the castle. Here's the proof.
149,harry,I broke the law. Underage wizards can't use magic at home.
426,hermione,Are you sure that's a real spell?
625,harry,When I said I wasn't hungry.
385,harry,"See you, Hedwig."
932,dumbledore,He's been looking dreadful for days.
1487,dumbledore,You've been with us all the time.
1447,dumbledore,"Minister, I really think I should sign as well."
1486,dumbledore,"Afterall, How could you?"
1390,hermione,Come on. And we can't be seen.
76,harry,Yeah? Try me.
577,hermione,"Harry, wait! Not so fast!"
239,hermione,Come on. Everywhere else is full
1341,harry,Capable of living for hundreds of years instant death awaits any who meet this giant serpent's eye.
7,harry,But she’s bored! 
1549,harry,"Don't worry, he will."
393,snape,Do you have any idea how serious this is?
764,harry,No. Is that really...?
261,hermione,Harry. Hagrid.
1649,harry,Mr. Malfoy.
684,snape,Are you incapable of restraining yourself or do you take pride in being an insufferable know-it-all?
1337,harry,Ron...
593,snape,Asphodel and wormwood make a sleeping potion so powerful it is known as the Draught of the Living Dead.
395,snape,Not to mention the damage you inflicted on a Whomping Willow.
1031,harry,"Professor, just so you know, I don't think that map always works."
1008,harry,Famous fire eaters...
1343,snape,"Come back here, Potter!"
1137,hermione,"Look, Hagrid's our friend. "
959,hermione,We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.
1183,harry,"We've got to talk to Hagrid, Ron."
1418,hermione,"If we succeed, more than one innocent life could be spared."
1378,dumbledore,"If not, the consequences are too ghastly to discuss."
765,harry,It was you. 
116,harry,Because there's no post on Sundays?
1370,dumbledore,But the word of three 13-year-old wizards will convince few others.
1509,harry,Yeah.
681,hermione,All the teachers are.
1111,dumbledore,That's ling you see over there...
730,harry,You could teach me.
1127,harry,What?
1072,hermione,We've got final exams coming up soon.
638,harry,Do you think I should have told them?
1540,harry,Sirius. Come on!
1316,harry,Get us out of here.
1331,harry,Hagrid never opened the Chamber of Secrets.
733,harry,But you made it go away.
945,hermione,Ronald has lost his rat.
1387,harry,Where's Ron?
930,harry,He just caught fire.
1419,hermione,Let's go.
1179,hermione,No! I trusted you!
1353,harry,"But he's a ghost, he couldn't die again."
1538,hermione,That was so scary.
1108,harry,Hagrid.
255,harry,"Hagrid, what exactly are these things?"
991,hermione,I...I don't think I'm going.
1281,harry,I said we'd take you to the castle.
1050,harry,No.
1381,dumbledore,"Oh, and by the way."
1411,harry,You wrote them.
528,hermione,It's not a term one usually hears in civilized conversation.
1456,harry,"Hurry up now, Buckbeak, okay?"
1133,hermione,Ron. Ron!
415,harry,Just a little bit.
378,hermione,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline."
1143,harry,"Ron! Ron, wait!"
846,snape,Expelliarmus!
404,harry,Professor McGonagall.
796,harry,Tell me Dobby when did this happen before?
1131,hermione,It can't be Hagrid.
539,hermione,How can you be nearly headless?
718,hermione,But it's the only plan we've got.
1544,harry,He'll conjure the Patronus.
