,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
956,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1957,2n Cycle,Married,40s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Store
424,Master,Widow,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1927,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
528,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,Meat,Sweets,Web
2193,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
397,2n Cycle,Single,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
123,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1530,Graduation,Single,40s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
1653,PhD,Single,20s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
454,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1423,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
603,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1521,PhD,Married,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
230,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
2116,Master,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1349,Graduation,Divorced,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
685,Graduation,Single,50s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
1841,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
574,Master,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
482,Master,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
410,Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1305,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
727,PhD,Single,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1939,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1461,Master,Single,20s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
497,PhD,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1149,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
883,Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
108,2n Cycle,Married,30s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1870,PhD,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1440,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
682,Master,Married,50s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
620,2n Cycle,Single,50s,Medium,No Children,No Wine,Fruits,No Meat,No Sweets,Store
862,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1396,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
650,Basic,Married,30s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
678,Graduation,Single,40s,High,No Children,Wine,No Fruits,Meat,Sweets,Web
407,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1842,Graduation,Together,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
78,Graduation,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2160,Basic,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
996,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1280,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1558,PhD,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
394,PhD,Divorced,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
1578,PhD,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
841,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1727,PhD,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
97,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1548,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
148,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
994,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
176,Graduation,Married,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
2033,Graduation,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1847,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1760,PhD,Married,30s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Web
1741,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1070,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
855,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
851,2n Cycle,Single,30s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1557,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1074,PhD,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1582,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2040,PhD,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
822,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
966,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
299,Graduation,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Web
1333,2n Cycle,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
28,Master,Divorced,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
490,PhD,Married,20s,High,Children,Wine,No Fruits,Meat,Sweets,Store
206,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1747,2n Cycle,Married,20s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
1451,PhD,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1936,PhD,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
920,Basic,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1151,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
537,2n Cycle,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1649,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
311,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
58,PhD,Widow,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
224,2n Cycle,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1115,Basic,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1685,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1254,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
383,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
458,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1044,PhD,Married,60s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Web
370,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
353,Graduation,Married,50s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
655,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
649,Graduation,Widow,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
2189,Master,Divorced,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
437,Graduation,Single,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1583,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1688,PhD,Married,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
834,Master,Single,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
893,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
2098,2n Cycle,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1531,Graduation,Widow,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
2076,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
2055,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
178,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
818,Graduation,Single,80s,Medium,No Children,Wine,Fruits,Meat,No Sweets,Store
1067,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1329,Master,Married,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
904,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1805,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1964,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2058,Basic,Widow,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
739,Graduation,Widow,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
169,PhD,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
584,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
787,Master,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1670,Graduation,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
171,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
302,Graduation,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
427,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1496,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
205,2n Cycle,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
38,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
2004,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1561,Graduation,Married,80s,Medium,No Children,No Wine,No Fruits,Meat,No Sweets,Store
1194,Graduation,Married,20s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Store
1439,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1946,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1597,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
92,PhD,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1121,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2082,Basic,Married,20s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
418,Graduation,Married,20s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
363,Graduation,Single,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1217,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
717,PhD,Divorced,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
817,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1740,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
600,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1337,PhD,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
79,Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1987,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
62,2n Cycle,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
145,Graduation,Single,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
2157,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
362,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2047,Graduation,Married,60s,Medium,No Children,No Wine,Fruits,No Meat,No Sweets,Store
919,PhD,Single,60s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
292,Graduation,Single,20s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
271,Graduation,Together,60s,Medium,No Children,No Wine,No Fruits,No Meat,Sweets,Store
911,Graduation,Together,20s,High,Children,Wine,Fruits,Meat,Sweets,Web
765,Master,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
309,PhD,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2199,2n Cycle,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
487,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1027,Graduation,Married,50s,High,Children,Wine,Fruits,No Meat,Sweets,Store
1412,Graduation,Single,30s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Web
2105,PhD,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
474,Graduation,Married,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
172,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2034,Graduation,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1488,Master,Married,30s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
2194,PhD,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1229,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
100,Master,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1179,Graduation,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
282,Graduation,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2029,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1660,Basic,Single,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
816,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
385,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
147,Graduation,Together,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
1034,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1651,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
484,PhD,Together,40s,High,Children,Wine,No Fruits,Meat,Sweets,Web
0,Graduation,Single,50s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
1094,2n Cycle,Married,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1692,PhD,Married,30s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
1300,2n Cycle,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
696,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
572,2n Cycle,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
590,PhD,Married,60s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1140,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1695,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1678,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
693,PhD,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2198,Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
539,PhD,Single,40s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
566,Master,Together,50s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
2164,PhD,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
612,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1226,Graduation,Single,50s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
931,Basic,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
2017,Graduation,Married,20s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1405,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1576,Master,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
692,Graduation,Married,20s,High,Children,Wine,Fruits,Meat,Sweets,Web
1169,PhD,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1406,PhD,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
559,2n Cycle,Single,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Web
232,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2048,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1689,Master,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
646,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1770,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
684,PhD,Single,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1019,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
161,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
704,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2118,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
223,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1216,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
82,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2067,Master,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1647,PhD,Single,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
986,Graduation,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1857,Graduation,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1498,Graduation,Single,30s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1455,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1153,2n Cycle,Married,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
642,Graduation,Divorced,30s,High,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
2089,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1065,Master,Single,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1601,Graduation,Married,40s,High,Children,No Wine,Fruits,Meat,Sweets,Store
531,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
752,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
51,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1503,PhD,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
2213,Graduation,Divorced,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
315,PhD,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1663,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1523,Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2071,Master,Together,60s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
2101,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
446,2n Cycle,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
754,Graduation,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
736,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
486,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1616,Graduation,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1377,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
507,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
324,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1951,Graduation,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
944,Graduation,Single,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
640,PhD,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
945,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
264,PhD,Together,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
2209,Graduation,Together,30s,High,Children,No Wine,Fruits,No Meat,No Sweets,Web
548,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
11,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
422,Master,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1384,Graduation,Married,30s,High,Children,Wine,Fruits,No Meat,No Sweets,Web
1170,Basic,Single,50s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
711,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
158,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1478,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
915,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1790,Graduation,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1737,Graduation,Widow,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
17,Master,Married,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
451,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
2007,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
799,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
479,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1846,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1087,Graduation,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
925,Graduation,Single,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
671,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
555,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
73,Graduation,Together,40s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
2171,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1753,PhD,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
24,Graduation,Single,40s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
2054,PhD,Single,20s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1063,PhD,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1509,PhD,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
52,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2129,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1102,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
854,Master,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1238,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1358,2n Cycle,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1648,2n Cycle,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1321,Master,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1556,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1638,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1802,PhD,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2203,Graduation,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Web
1650,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1391,Graduation,Married,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1776,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
102,PhD,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1463,Graduation,Single,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
478,Graduation,Divorced,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1736,PhD,Widow,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
198,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1071,Master,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
709,PhD,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
673,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
7,PhD,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2057,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
833,2n Cycle,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
971,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1288,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1775,2n Cycle,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2146,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
781,Graduation,Single,50s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
459,PhD,Together,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
375,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
358,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1128,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1969,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
420,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
435,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2137,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1806,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1068,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
265,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
132,PhD,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1459,Master,Single,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
1441,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1627,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1099,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
438,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1640,PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
968,Graduation,Divorced,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
